	mottoId.value	company.value	companyLabel.xml:lang	companyLabel.value	mottoLabel.value	starttime.value
0	http://www.wikidata.org/entity/statement/Q3504341-cd9d0946-4e19-78cd-13d7-4968c8341dbf	http://www.wikidata.org/entity/Q3504341	en	Super Écran	Le canal de films	1980-01-01T00:00:00Z
1	http://www.wikidata.org/entity/statement/Q2882611-5ef4abc0-4a66-f30a-1864-ae1f4e9a79ad	http://www.wikidata.org/entity/Q2882611	en	Bank Negara Indonesia	BNI Memberi Lebih	2011-01-01T00:00:00Z
2	http://www.wikidata.org/entity/statement/Q2882611-784d21d2-481f-a25a-cd4a-2adca08c4b0b	http://www.wikidata.org/entity/Q2882611	en	Bank Negara Indonesia	Melayani Negeri, Kebanggaan Bangsa	2004-01-01T00:00:00Z
3	http://www.wikidata.org/entity/statement/Q61930516-e2adc9c2-4729-811e-53c2-e8c71f51ea3b	http://www.wikidata.org/entity/Q61930516	en	Bell Resources	Bell Resources mission is to accelerate the transition of the transportation sector to sustainable energy.	2017-07-20T00:00:00Z
4	http://www.wikidata.org/entity/statement/Q61930516-e2adc9c2-4729-811e-53c2-e8c71f51ea3b	http://www.wikidata.org/entity/Q61930516	en	Bell Resources	Bell Resources mission is to accelerate the transition of the transportation sector to sustainable energy.	2017-07-20T00:00:00Z
5	http://www.wikidata.org/entity/statement/Q28119223-1077688e-4af8-543f-200c-4a6327bb52ce	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	Be one to be number one	2016-01-01T00:00:00Z
6	http://www.wikidata.org/entity/statement/Q28119223-1077688e-4af8-543f-200c-4a6327bb52ce	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	Be one to be number one	2016-01-01T00:00:00Z
7	http://www.wikidata.org/entity/statement/Q28119223-b222f3f4-4086-3f1f-04df-21051be9b199	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	Molto più vicini	2020-01-01T00:00:00Z
8	http://www.wikidata.org/entity/statement/Q28119223-b222f3f4-4086-3f1f-04df-21051be9b199	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	Molto più vicini	2020-01-01T00:00:00Z
9	http://www.wikidata.org/entity/statement/Q3285035-1c4f7a05-4914-db3a-b5ee-08089670d193	http://www.wikidata.org/entity/Q3285035		Q3285035	Mammouth, quelle énergie	1993-01-01T00:00:00Z
10	http://www.wikidata.org/entity/statement/Q3285035-555b93be-4fe9-d518-da92-56d369b53205	http://www.wikidata.org/entity/Q3285035		Q3285035	Quand on sait ce que ça coûte, on choisit Mammouth	1983-01-01T00:00:00Z
11	http://www.wikidata.org/entity/statement/Q3285035-f79000ce-42d2-6869-63f8-fb23a4a1afb4	http://www.wikidata.org/entity/Q3285035		Q3285035	Mammouth centre de vie, pour le prix et pour le plaisir	1988-01-01T00:00:00Z
12	http://www.wikidata.org/entity/statement/Q25936435-9c284c09-4dee-d46d-a6e3-77a6edf0b5e7	http://www.wikidata.org/entity/Q25936435	en	Twinkl	Be Kind To Yourself	2015-09-01T00:00:00Z
13	http://www.wikidata.org/entity/statement/Q25936435-bdcc8267-40fe-21a8-c176-67e5fc30798d	http://www.wikidata.org/entity/Q25936435	en	Twinkl	Be Ready For Anything	2016-09-01T00:00:00Z
14	http://www.wikidata.org/entity/statement/Q3094784-022c4389-4f43-3ac0-5593-6a9792586e17	http://www.wikidata.org/entity/Q3094784	en	Galler (chocolate)	Chocolatier	2014-01-01T00:00:00Z
15	http://www.wikidata.org/entity/statement/Q95-8f3a78a2-4515-2ee9-6e10-22dd5b42e946	http://www.wikidata.org/entity/Q95	en	Google	Do the right thing	2015-10-01T00:00:00Z
16	http://www.wikidata.org/entity/statement/Q202210-caf3d6d9-4fb0-ac70-f113-fed34003e8e7	http://www.wikidata.org/entity/Q202210	en	GameStop	Power to the Players	2007-01-01T00:00:00Z
17	http://www.wikidata.org/entity/statement/Q210047-674f985a-4eda-a929-7910-7f0acd57f015	http://www.wikidata.org/entity/Q210047	en	Petrobras	O desafio é a nossa energia.	2014-01-01T00:00:00Z
18	http://www.wikidata.org/entity/statement/Q210047-674f985a-4eda-a929-7910-7f0acd57f015	http://www.wikidata.org/entity/Q210047	en	Petrobras	O desafio é a nossa energia.	2014-01-01T00:00:00Z
19	http://www.wikidata.org/entity/statement/Q210047-d38f0b59-4157-12bb-6983-609385c3ff5a	http://www.wikidata.org/entity/Q210047	en	Petrobras	Energia para transformar	2019-10-01T00:00:00Z
20	http://www.wikidata.org/entity/statement/Q210047-d38f0b59-4157-12bb-6983-609385c3ff5a	http://www.wikidata.org/entity/Q210047	en	Petrobras	Energia para transformar	2019-10-01T00:00:00Z
21	http://www.wikidata.org/entity/statement/Q166032-24c41820-4c49-9831-ac5b-b73766320439	http://www.wikidata.org/entity/Q166032	en	The Washington Post	Democracy Dies in Darkness	2017-02-22T00:00:00Z
22	http://www.wikidata.org/entity/statement/Q21483362-cc444e1b-42dd-a597-c763-7fab928bc9c8	http://www.wikidata.org/entity/Q21483362	en	Kaut-Bullinger	Alles fürs Büro	1929-01-01T00:00:00Z
23	http://www.wikidata.org/entity/statement/Q874407-5c04162d-4e76-132c-3edb-eda176c8a5f6	http://www.wikidata.org/entity/Q874407	en	Lipton	Tout l'effet Lipton	2011-01-01T00:00:00Z
24	http://www.wikidata.org/entity/statement/Q499071-3f8eb6e6-4539-badf-3f80-0528353c017c	http://www.wikidata.org/entity/Q499071	en	East Japan Railway Company	地域に生きる。世界に伸びる。	2012-01-01T00:00:00Z
25	http://www.wikidata.org/entity/statement/Q499071-3f8eb6e6-4539-badf-3f80-0528353c017c	http://www.wikidata.org/entity/Q499071	en	East Japan Railway Company	地域に生きる。世界に伸びる。	2012-01-01T00:00:00Z
26	http://www.wikidata.org/entity/statement/Q499071-5bec0317-49b1-1f8e-4da2-5f1ae2d3d7e8	http://www.wikidata.org/entity/Q499071	en	East Japan Railway Company	TICKET TO TOMORROW 未来のキップを、すべての人に。	2016-01-01T00:00:00Z
27	http://www.wikidata.org/entity/statement/Q499071-5bec0317-49b1-1f8e-4da2-5f1ae2d3d7e8	http://www.wikidata.org/entity/Q499071	en	East Japan Railway Company	TICKET TO TOMORROW 未来のキップを、すべての人に。	2016-01-01T00:00:00Z
28	http://www.wikidata.org/entity/statement/Q138133-4ba8b33f-4d79-f11d-ee8f-0619b59ce910	http://www.wikidata.org/entity/Q138133	en	RWE	Our energy for a sustainable life	2019-01-01T00:00:00Z
29	http://www.wikidata.org/entity/statement/Q138133-4ba8b33f-4d79-f11d-ee8f-0619b59ce910	http://www.wikidata.org/entity/Q138133	en	RWE	Our energy for a sustainable life	2019-01-01T00:00:00Z
30	http://www.wikidata.org/entity/statement/Q106993071-15d0ccc8-4f43-7598-ab87-b90f5109a2e1	http://www.wikidata.org/entity/Q106993071	en	Open Collective	Make your community sustainable	2021-01-01T00:00:00Z
31	http://www.wikidata.org/entity/statement/Q106993071-2ffc9f8b-4c80-ef0f-4f81-5ad374cad5f4	http://www.wikidata.org/entity/Q106993071	en	Open Collective	A new form of association,transparent by design	2019-01-01T00:00:00Z
32	http://www.wikidata.org/entity/statement/Q106993071-e6460eda-427a-ac0f-5c3d-e7315ec641f6	http://www.wikidata.org/entity/Q106993071	en	Open Collective	Collect money for your community	2016-01-01T00:00:00Z
33	http://www.wikidata.org/entity/statement/Q2311-7860e889-4751-25c4-c72d-af5439dd12df	http://www.wikidata.org/entity/Q2311	en	Airbus Group	We make it fly	2013-01-01T00:00:00Z
34	http://www.wikidata.org/entity/statement/Q2311-7860e889-4751-25c4-c72d-af5439dd12df	http://www.wikidata.org/entity/Q2311	en	Airbus Group	We make it fly	2013-01-01T00:00:00Z
35	http://www.wikidata.org/entity/statement/Q16989244-7418c75d-4e10-a6f7-0692-f20343377eaf	http://www.wikidata.org/entity/Q16989244	en	Knowledge Unlatched	Open Access made simple	2021-01-01T00:00:00Z
36	http://www.wikidata.org/entity/statement/Q113679995-64acef08-485a-93dc-a5c5-ed6999d93a21	http://www.wikidata.org/entity/Q113679995	en	Liberate Science	Making research more efficient, collaborative, and dynamic.Through independent, scholar-led projects that sustain themselves.	2022-01-01T00:00:00Z
37	http://www.wikidata.org/entity/statement/Q3094784-11f40f42-4fd5-4770-784f-c576759dca56	http://www.wikidata.org/entity/Q3094784	en	Galler (chocolate)	Pure cocoa	2005-01-01T00:00:00Z
38	http://www.wikidata.org/entity/statement/Q3094784-e9a9caca-4f68-c791-41ae-6d350d0560b2	http://www.wikidata.org/entity/Q3094784	en	Galler (chocolate)	Chocolaterie indépendante	2020-07-01T00:00:00Z
39	http://www.wikidata.org/entity/statement/Q2843047-e977ea67-4117-9b5f-c384-2b1fbe565344	http://www.wikidata.org/entity/Q2843047	en	AT&T Corporation	One Policy, One System, Universal Service	1908-01-01T00:00:00Z
40	http://www.wikidata.org/entity/statement/Q2843047-e977ea67-4117-9b5f-c384-2b1fbe565344	http://www.wikidata.org/entity/Q2843047	en	AT&T Corporation	One Policy, One System, Universal Service	1908-01-01T00:00:00Z
41	http://www.wikidata.org/entity/statement/Q541909-88bec3b4-44f9-c7ab-60ab-d8c34da9eade	http://www.wikidata.org/entity/Q541909	en	Ergo Group	Versichern heißt verstehen	2010-01-01T00:00:00Z
42	http://www.wikidata.org/entity/statement/Q4905688-9cded932-4122-131c-10a9-8f77ece5f85c	http://www.wikidata.org/entity/Q4905688	en	Big Finish Productions	For the love of stories	2022-01-01T00:00:00Z
43	http://www.wikidata.org/entity/statement/Q4905688-9cded932-4122-131c-10a9-8f77ece5f85c	http://www.wikidata.org/entity/Q4905688	en	Big Finish Productions	For the love of stories	2022-01-01T00:00:00Z
44	http://www.wikidata.org/entity/statement/Q5092052-beeca9cf-423e-8255-b69c-035b97eb9a55	http://www.wikidata.org/entity/Q5092052	en	Chernihiv Brewery	I believe I can!	2017-01-01T00:00:00Z
45	http://www.wikidata.org/entity/statement/Q62273834-ed79f2d3-444f-777d-fbfe-d29bf786af5d	http://www.wikidata.org/entity/Q62273834	en	Gregory's	αυτούς που σου φτιάχνουν τη μέρα τους ξέρεις με το μικρό	2022-01-01T00:00:00Z
46	http://www.wikidata.org/entity/statement/Q62273834-ed79f2d3-444f-777d-fbfe-d29bf786af5d	http://www.wikidata.org/entity/Q62273834	en	Gregory's	αυτούς που σου φτιάχνουν τη μέρα τους ξέρεις με το μικρό	2022-01-01T00:00:00Z
47	http://www.wikidata.org/entity/statement/Q58898260-114f961f-40e0-08a3-5033-b26073eea223	http://www.wikidata.org/entity/Q58898260	en	Oakpont	Oakpont’s mission is to untangle complex technology issues and orchestrate ongoing innovation and talent solutions.	2016-08-08T00:00:00Z
48	http://www.wikidata.org/entity/statement/Q118114577-baca5f1e-4d1d-b683-9030-907a3f354473	http://www.wikidata.org/entity/Q118114577		Q118114577	Die Güte entscheidet!	1930-01-01T00:00:00Z
49	http://www.wikidata.org/entity/statement/Q118114577-05a058b8-4de2-5383-6863-f9a45d5db73e	http://www.wikidata.org/entity/Q118114577		Q118114577	Die Käse des köstlich milden Wohlgeschmackes!	1930-01-01T00:00:00Z
50	http://www.wikidata.org/entity/statement/Q61930516-abd6c886-43a8-f198-3c9c-88a3e8f1648b	http://www.wikidata.org/entity/Q61930516	en	Bell Resources	Spearheading the energy transition	2023-09-01T00:00:00Z
51	http://www.wikidata.org/entity/statement/Q61930516-abd6c886-43a8-f198-3c9c-88a3e8f1648b	http://www.wikidata.org/entity/Q61930516	en	Bell Resources	Spearheading the energy transition	2023-09-01T00:00:00Z
52	http://www.wikidata.org/entity/statement/Q64326907-76945481-4528-8e9a-c41e-2a136f5d994e	http://www.wikidata.org/entity/Q64326907	en	Bell Hub	For more than EV Charging...Go Bell	2021-10-01T00:00:00Z
53	http://www.wikidata.org/entity/statement/Q69392348-ddbd634e-4ff8-c1b3-5545-15a4beb24f25	http://www.wikidata.org/entity/Q69392348	en	Aveco Capital	On the curve	2023-06-01T00:00:00Z
54	http://www.wikidata.org/entity/statement/Q106120935-33fa7286-4cd3-99ad-5da4-a149e5e098ba	http://www.wikidata.org/entity/Q106120935	en	BlueCrest Metals	Vertical by design	2024-02-01T00:00:00Z
55	http://www.wikidata.org/entity/statement/Q106120935-33fa7286-4cd3-99ad-5da4-a149e5e098ba	http://www.wikidata.org/entity/Q106120935	en	BlueCrest Metals	Vertical by design	2024-02-01T00:00:00Z
